20100426,2529.85,2535.28,2521.51,2522.95,2491040000,2522.95
20100423,2514.85,2530.15,2507.60,2530.15,2517010000,2530.15
20100422,2483.52,2521.02,2468.26,2519.07,2800840000,2519.07
20100421,2506.61,2510.50,2490.19,2504.61,2715900000,2504.61
20100420,2492.72,2501.25,2480.70,2500.31,2157100000,2500.31
20100419,2477.80,2487.67,2451.72,2480.11,2223650000,2480.11
20100416,2505.38,2510.06,2467.68,2481.26,2960950000,2481.26
20100415,2503.41,2517.82,2502.51,2515.69,2840660000,2515.69
20100414,2481.80,2504.86,2480.43,2504.86,3143270000,2504.86
20100413,2454.95,2467.94,2445.26,2465.99,2665420000,2465.99
20100412,2455.40,2463.17,2450.15,2457.87,2161650000,2457.87
20100409,2441.31,2454.12,2432.93,2454.05,2215530000,2454.05
20100408,2423.99,2441.12,2413.74,2436.81,2428900000,2436.81
20100407,2433.10,2442.27,2418.73,2431.16,2984850000,2431.16
20100406,2420.33,2443.50,2417.77,2436.81,2220390000,2436.81
20100405,2409.48,2429.61,2403.88,2429.53,2130340000,2429.53
20100401,2411.68,2423.43,2383.77,2402.58,2340270000,2402.58
20100331,2402.98,2415.44,2395.34,2397.96,2368690000,2397.96
20100330,2406.69,2417.36,2395.80,2410.69,2147270000,2410.69
20100329,2403.77,2411.18,2398.40,2404.36,1967850000,2404.36
20100326,2406.73,2412.92,2384.69,2395.13,2367930000,2395.13
20100325,2415.24,2432.25,2397.36,2397.41,2704870000,2397.41
20100324,2406.72,2408.64,2396.92,2398.76,2436100000,2398.76
20100323,2397.90,2416.51,2390.04,2415.24,2465230000,2415.24
20100322,2360.35,2401.21,2358.00,2395.40,2448130000,2395.40
20100319,2391.20,2396.92,2364.53,2374.41,3055760000,2374.41
20100318,2387.54,2393.87,2383.26,2391.28,2173060000,2391.28
20100317,2381.65,2400.09,2381.47,2389.09,2281410000,2389.09
20100316,2367.32,2378.84,2360.67,2378.01,2201880000,2378.01
20100315,2361.92,2367.40,2345.99,2362.21,1956170000,2362.21
20100312,2376.07,2376.28,2358.08,2367.66,2098780000,2367.66
20100311,2351.11,2368.46,2347.53,2368.46,2256790000,2368.46
20100310,2340.95,2361.66,2340.69,2358.95,2554740000,2358.95
20100309,2325.78,2353.07,2325.74,2340.68,2620360000,2340.68
20100308,2326.25,2335.43,2326.11,2332.21,2312310000,2332.21
20100305,2304.01,2327.03,2301.10,2326.35,2411880000,2326.35
20100304,2282.57,2293.16,2273.63,2292.31,2186020000,2292.31
20100303,2284.82,2293.32,2275.25,2280.68,2603510000,2280.68
20100302,2279.07,2292.49,2275.35,2280.79,2831870000,2280.79
20100301,2247.40,2274.02,2247.33,2273.57,2504940000,2273.57
20100226,2234.44,2242.83,2222.23,2238.26,2283430000,2238.26
20100225,2208.62,2236.21,2198.73,2234.22,2300530000,2234.22
20100224,2222.40,2241.69,2221.28,2235.90,2155810000,2235.90
20100223,2238.01,2239.80,2205.70,2213.44,2310910000,2213.44
20100222,2250.92,2251.68,2235.65,2242.03,1976290000,2242.03
20100219,2233.33,2249.80,2228.93,2243.87,2166660000,2243.87
20100218,2223.22,2243.50,2221.14,2241.71,2076820000,2241.71
20100217,2222.87,2226.32,2212.78,2226.29,2103530000,2226.29
20100216,2200.38,2214.19,2189.18,2214.19,2072850000,2214.19
20100212,2157.69,2184.57,2151.99,2183.53,2236180000,2183.53
20100211,2145.09,2179.54,2134.14,2177.41,2141260000,2177.41
20100210,2147.46,2156.36,2131.08,2147.87,2059940000,2147.87
20100209,2153.10,2166.16,2132.58,2150.87,2296420000,2150.87
20100208,2140.10,2152.64,2125.11,2126.05,2036280000,2126.05
20100205,2131.92,2142.27,2100.17,2141.12,2811100000,2141.12
20100204,2176.39,2178.25,2125.43,2125.43,2801390000,2125.43
20100203,2181.01,2194.53,2176.75,2190.91,2303350000,2190.91
20100202,2171.66,2193.66,2161.47,2190.06,2468470000,2190.06
20100201,2155.81,2171.20,2152.26,2171.20,2234140000,2171.20
20100129,2198.26,2202.84,2140.34,2147.35,3090580000,2147.35
20100128,2220.31,2220.87,2166.90,2179.00,2829640000,2179.00
